,GEOID,zone,spatial_unit,area,perc
0,510010908002,2per,blkgps,10.056831,2.949940850741394
1,510010904004,2per,blkgps,7.568187,5.862350833368584
2,510010904003,2per,blkgps,3.342829,3.590999645898365
3,510010908003,2per,blkgps,3.097225,6.19366402403535
4,510010903001,2per,blkgps,0.453955,0.3156867924707273
5,510010903002,2per,blkgps,2.895918,5.3087184163556564
6,510019801001,2per,blkgps,0.737685,0.659584030867837
7,510010907004,2per,blkgps,2.982503,6.979453352446291
8,510010907005,2per,blkgps,8.442579,5.400120287393344
9,510019802001,2per,blkgps,0.314404,0.2581513346471788
10,510010902002,2per,blkgps,1.393031,0.8544330459329058
11,511319302002,2per,blkgps,0.697121,0.9756440344222486
12,511319302001,2per,blkgps,0.725973,0.9069935363062963
13,511319301001,2per,blkgps,1.857688,2.4954744130747852
14,511319303004,2per,blkgps,1.640196,0.8155518976015161
15,510010901002,2per,blkgps,0.434251,13.871254610165137
16,510010905003,2per,blkgps,0.229516,0.5339316300636104
17,510010907002,2per,blkgps,0.0,0.0
18,510010907003,2per,blkgps,0.087698,0.2428629817502723
19,510010905002,2per,blkgps,0.013363,0.08686157990053071
20,510010906003,2per,blkgps,0.056146,1.1451505791631789
21,510010904002,2per,blkgps,2.1032,2.7617606660202774
22,510010907001,2per,blkgps,0.287958,0.9572944826961903
23,510010906001,2per,blkgps,0.307885,0.07199063766533
24,510010906004,2per,blkgps,6.40189,6.92799531320964
25,510010902003,2per,blkgps,4.209715,3.518845142828226
26,510010901003,2per,blkgps,0.743397,11.820082168505696
27,510010901001,2per,blkgps,0.570278,0.8862934152495033
28,510010901004,2per,blkgps,0.085741,0.5104919944666981
29,510010904001,2per,blkgps,0.943468,1.3901473329144627
30,510010908001,2per,blkgps,14.501406,13.107410600083139
31,510010905001,2per,blkgps,4.298779,3.9026477989591655
32,510010903003,2per,blkgps,3.240314,3.0477753344324765
33,510010906002,2per,blkgps,9.956396,3.9137173793418087
34,510010902001,2per,blkgps,1.688036,2.1843367502550173
35,511319301003,2per,blkgps,0.043353,0.3848483398560687
36,511319303002,2per,blkgps,0.606809,1.8494766558544398
37,511319303001,2per,blkgps,1.719179,4.383794358570149
38,511319303003,2per,blkgps,1.134813,0.2289890819304913
39,511319302003,2per,blkgps,1.981658,2.7676183162702985
40,511319302004,2per,blkgps,2.56334,1.910353138615842
