,GEOID,zone,spatial_unit,area,perc
0,51001090200,2per,tracts,7.290783,2.025508678125307
1,51001980200,2per,tracts,0.314404,0.2581513346471788
2,51001980100,2per,tracts,0.737685,0.659584030867837
3,51001090400,2per,tracts,13.957683,3.8113901117073143
4,51131990100,2per,tracts,0.0,0.0
5,51131930300,2per,tracts,5.100998,0.6635734013274017
6,51131930200,2per,tracts,5.968092,1.6704377636000003
7,51001090300,2per,tracts,6.590187,2.163080459258382
8,51001090800,2per,tracts,27.655462,5.5139124273544695
9,51001990200,2per,tracts,0.0,0.0
10,51001090600,2per,tracts,16.722317,2.1455919380463437
11,51001990100,2per,tracts,0.0,0.0
12,51001090500,2per,tracts,4.541659,2.695017203654053
13,51001090700,2per,tracts,11.800738,4.053877485584738
14,51131930100,2per,tracts,3.429345,0.9294479905110549
15,51001090100,2per,tracts,1.833667,2.02481422075245
0,51001090200,1per,tracts,59.342295,16.48634083641935
1,51001980200,1per,tracts,18.215851,14.956699811020686
2,51001980100,1per,tracts,86.170853,77.0476810089128
3,51001090400,1per,tracts,43.355869,11.839080339557624
4,51131990100,1per,tracts,0.455766,0.02601171423521587
5,51131930300,1per,tracts,48.300734,6.28329639552693
6,51131930200,1per,tracts,58.093435,16.260048880151643
7,51001090300,1per,tracts,154.106343,50.581936323061804
8,51001090800,1per,tracts,117.793565,23.485537935178467
9,51001990200,1per,tracts,0.0,0.0
10,51001090600,1per,tracts,118.891745,15.254654577607976
11,51001990100,1per,tracts,0.413073,0.05525265190772449
12,51001090500,1per,tracts,39.075987,23.18766274939667
13,51001090700,1per,tracts,73.53444,25.261098986443205
14,51131930100,1per,tracts,58.43006,15.836173337019273
15,51001090100,1per,tracts,49.236062,54.368584105756014
0,51001090200,0,tracts,293.067568,81.41936226343293
1,51001980200,0,tracts,103.260326,84.78515213865847
2,51001980100,0,tracts,24.923956,22.285180481713216
3,51001090400,0,tracts,308.896219,84.34952954873506
4,51131990100,0,tracts,1748.818225,99.80946344843066
5,51131930300,0,tracts,715.314736,93.05313046331963
6,51131930200,0,tracts,293.215597,82.06951335624836
7,51001090300,0,tracts,143.661674,47.15370895753761
8,51001090800,0,tracts,356.108592,71.00049859649795
9,51001990200,0,tracts,1572.530806,99.99743134046966
10,51001090600,0,tracts,643.533866,82.56996173134357
11,51001990100,0,tracts,747.123334,99.9352305903329
12,51001090500,0,tracts,124.902949,74.11732064034857
13,51001090700,0,tracts,205.762391,70.68503039852115
14,51131930100,0,tracts,307.106167,83.23432311176113
15,51001090100,0,tracts,39.489876,43.60642499458783
