GEOID,PeakSurge,MeanSurge,Frac
510010901011,0.76,0.63,0.26
510010901012,0.87,0.82,0.14
510010901021,NaN,NaN,NaN
510010901022,1.01,0.96,0.33
510010902011,NaN,NaN,NaN
510010902012,0.63,0.59,0.04
510010902021,0.71,0.67,0.06
510010902022,0.89,0.86,0.01
510010902023,0.74,0.74,0
510010903001,0.7,0.67,0.18
510010903002,NaN,NaN,NaN
510010903003,0.68,0.67,0.03
510010904011,1.11,0.97,0.13
510010904012,1.11,1.04,0.1
510010904021,1.12,1.07,0.11
510010904022,1.16,1.11,0.26
510010905001,0.68,0.66,0.14
510010905002,NaN,NaN,NaN
510010905003,NaN,NaN,NaN
510010906001,0.62,0.61,0.14
510010906002,0.67,0.65,0.12
510010906003,NaN,NaN,NaN
510010906004,0.63,0.62,0.01
510010907001,NaN,NaN,NaN
510010907002,NaN,NaN,NaN
510010907003,NaN,NaN,NaN
510010907004,NaN,NaN,NaN
510010907005,0.62,0.61,0.04
510010908001,1.18,1.16,0.07
510010908002,1.2,1.17,0.38
510010908003,1.17,1.14,0.1
510019801001,1.1,0.9,0.21
510019802001,1.1,0.7,0.58
511319301001,0.62,0.62,0
511319301002,NaN,NaN,NaN
511319301003,NaN,NaN,NaN
511319301004,1.22,1.19,0.37
511319302001,0.68,0.68,0
511319302002,NaN,NaN,NaN
511319302003,0.74,0.73,0
511319302004,1.22,1.21,0.15
511319303011,0.74,0.74,0
511319303012,NaN,NaN,NaN
511319303013,NaN,NaN,NaN
511319303021,1.21,1.16,0.54
511319303022,1.16,1.09,0.25
