GEOID,NAME,totpop_est,totpop_moe,whitepop_est,whitepop_moe,whiteper_est,whiteper_moe,blackpop_est,blackpop_moe,blackper_est,blackper_moe,ltnxpop_est,ltnxpop_moe,ltnxper_est,ltnxper_moe,remainpop_est,remainpop_moe,remainper_est,remainper_moe,age17pop_est,age17pop_moe,age17per_est,age17per_moe,age65pop_est,age65pop_moe,age65per_est,age65per_moe,onlinehh_est,onlinehh_moe,onlineper_est,onlineper_moe,tothh_est,tothh_moe,ownhh_est,ownhh_moe,ownhhper_est,ownhhper_moe,renthh_est,renthh_moe,renthhper_est,renthhper_moe,medhhinc_est,medhhinc_moe,medrent_est,medrent_moe,medhome_est,medhome_moe,jobs_total_w,jobs_lowage_w,percent_lowage_w,jobs_total_h,jobs_lowage_h,percent_lowage_h
510010901011,"Block Group 1, Census Tract 901.01, Accomack County, Virginia",895,224,887,225,99.11,4.09,0,13,0,1.45,0,13,0,1.45,8,19.1049731745428,0.89,2.12,89,57.262553208881634,9.94,5.89,418,163.29421300217592,46.7,14.01,492,140,85.71,8.93,574,152,479,153,83.45,14.91,95,73,16.55,11.94,60026,8699,744,260,350800,30500,401,225,56.10972568578554,522,147,28.160919540229884
510010901012,"Block Group 2, Census Tract 901.01, Accomack County, Virginia",1002,248,875,237,87.33,9.61,0,13,0,1.3,70,75,6.99,7.28,57,74.14849964766651,5.69,7.26,133,84.77617589865682,13.27,7.8,218,89.62700485902673,21.76,7.14,439,115,90.7,12.14,484,109,365,108,75.41,14.47,119,71,24.59,13.58,67121,31552,1175,119,331000,30453,112,69,61.60714285714286,313,91,29.073482428115017
510010901021,"Block Group 1, Census Tract 901.02, Accomack County, Virginia",794,198,783,200,98.61,5.45,0,13,0,1.64,0,13,0,1.64,11,25.553864678361276,1.39,3.2,70,58.71115737234278,8.82,7.06,467,136.66016244685207,58.82,9.01,406,110,85.29,12.9,476,107,378,98,79.41,10.26,98,64,20.59,12.62,43929,17373,2024,927,278400,27506,172,58,33.72093023255814,376,91,24.20212765957447
510010901022,"Block Group 2, Census Tract 901.02, Accomack County, Virginia",594,210,498,176,83.84,41.91,0,13,0,2.19,15,29,2.53,4.8,81,107.78682665335315,13.64,17.49,190,124.49096352747857,31.99,17.65,192,89.08422980528034,32.32,9.71,231,126,66,25.45,350,135,166,68,47.43,6.54,184,135,52.57,32.81,23990,6252,NA,NA,256000,105052,133,72,54.13533834586466,286,86,30.069930069930066
510010902011,"Block Group 1, Census Tract 902.01, Accomack County, Virginia",1167,340,791,324,67.78,19.52,199,163,17.05,13.05,118,147,10.11,12.25,59,82.03657720797473,5.06,6.87,187,117.2987638468539,16.02,8.9,330,173.63755354185338,28.28,12.39,293,144,57.79,21.77,507,160,295,130,58.19,17.9,212,123,41.81,20.36,31606,8470,1254,296,152100,88801,366,59,16.120218579234972,650,190,29.230769230769234
510010902012,"Block Group 2, Census Tract 902.01, Accomack County, Virginia",1833,555,1800,553,98.2,5.11,0,13,0,0.71,33,53,1.8,2.84,0,13,0,0.71,282,141.40721339450826,15.38,6.15,735,213.68200672962615,40.1,16.83,630,192,89.11,9.78,707,201,630,196,89.11,11.26,77,67,10.89,8.96,75568,21217,1125,103,164000,13011,76,17,22.36842105263158,806,223,27.667493796526056
510010902021,"Block Group 1, Census Tract 902.02, Accomack County, Virginia",1174,459,304,185,25.89,12.08,807,383,68.74,18.49,9,17,0.77,1.42,54,62.369864518050704,4.6,5,239,114.17530380953667,20.36,5.59,84,96.26525853079085,7.16,7.71,437,191,94.18,6.82,464,200,287,157,61.85,20.83,177,111,38.15,17.38,51019,30284,797,76,135300,14968,126,43,34.12698412698413,425,97,22.823529411764707
510010902022,"Block Group 2, Census Tract 902.02, Accomack County, Virginia",1026,424,554,299,54,18.74,374,308,36.45,25.97,77,70,7.5,6.08,21,35.4682957019364,2.05,3.35,141,156.26579920123277,13.74,14.13,334,154.80633061990713,32.55,6.83,275,125,69.1,17.03,398,152,279,109,70.1,5.77,119,107,29.9,24.34,49066,17131,786,48,190600,69405,1397,161,11.52469577666428,489,132,26.993865030674847
510010902023,"Block Group 3, Census Tract 902.02, Accomack County, Virginia",784,312,622,238,79.34,43.8,162,181,20.66,21.57,0,13,0,1.66,0,13,0,1.66,104,95.05261700763425,13.27,10.91,155,113.81124724736128,19.77,12.2,197,105,51.04,19.03,386,147,281,117,72.8,12.25,105,97,27.2,22.89,65109,55627,NA,NA,187900,83943,118,54,45.76271186440678,467,122,26.124197002141326
510010903001,"Block Group 1, Census Tract 903, Accomack County, Virginia",476,144,358,135,75.21,16.93,88,91,18.49,18.28,14,19,2.94,3.89,16,35.4682957019364,3.36,7.38,26,24.698178070456937,5.46,4.92,135,55.96427431853289,28.36,8.04,143,56,66.51,15.77,215,67,197,65,91.63,9.93,18,16,8.37,6.97,60417,32890,640,171,110400,25268,16,9,56.25,288,77,26.73611111111111
