GEOID,NAME,demographic,variable,estimate,totalpop,totalhh,total_jobs
51001,"Accomack County, Virginia",race,whitepop,19932,33388,NA,NA
51001,"Accomack County, Virginia",race,blackpop,9503,33388,NA,NA
51001,"Accomack County, Virginia",race,ltnxpop,3042,33388,NA,NA
51131,"Northampton County, Virginia",race,whitepop,6714,12226,NA,NA
51131,"Northampton County, Virginia",race,blackpop,3899,12226,NA,NA
51131,"Northampton County, Virginia",race,ltnxpop,1131,12226,NA,NA
51001,"Accomack County, Virginia",race,remainpop,911,33388,NA,NA
51131,"Northampton County, Virginia",race,remainpop,482,12226,NA,NA
51001,"Accomack County, Virginia",age,age17pop,6949,33388,NA,NA
51131,"Northampton County, Virginia",age,age17pop,2387,12226,NA,NA
51001,"Accomack County, Virginia",age,age65pop,8061,33388,NA,NA
51131,"Northampton County, Virginia",age,age65pop,3308,12226,NA,NA
51001,"Accomack County, Virginia",age,age18to64pop,18378,33388,NA,NA
51131,"Northampton County, Virginia",age,age18to64pop,6531,12226,NA,NA
51001,"Accomack County, Virginia",online,comp_and_bb,10744,NA,14152,NA
51131,"Northampton County, Virginia",online,comp_and_bb,4287,NA,5292,NA
51001,"Accomack County, Virginia",online,not_comp_bb,3408,NA,14152,NA
51131,"Northampton County, Virginia",online,not_comp_bb,1005,NA,5292,NA
51001,"Accomack County, Virginia",own_rent,ownhh,9463,NA,14152,NA
51001,"Accomack County, Virginia",own_rent,renthh,4689,NA,14152,NA
51131,"Northampton County, Virginia",own_rent,ownhh,3318,NA,5292,NA
51131,"Northampton County, Virginia",own_rent,renthh,1974,NA,5292,NA
51001,"Accomack County, Virginia",income,medhhinc,50601,NA,NA,NA
51001,"Accomack County, Virginia",rent_cost,medrent,884,NA,NA,NA
51001,"Accomack County, Virginia",housing_value,medhome,171400,NA,NA,NA
51131,"Northampton County, Virginia",income,medhhinc,50347,NA,NA,NA
51131,"Northampton County, Virginia",rent_cost,medrent,694,NA,NA,NA
51131,"Northampton County, Virginia",housing_value,medhome,191900,NA,NA,NA
51001,"Northampton County, Virginia",jobs,jobs_lowage_w,2689,NA,NA,10793
51001,"Northampton County, Virginia",jobs,jobs_midwage_w,4208,NA,NA,10793
51001,"Northampton County, Virginia",jobs,jobs_hiwage_w,3896,NA,NA,10793
51131,"Northampton County, Virginia",jobs,jobs_lowage_w,1143,NA,NA,3770
51131,"Northampton County, Virginia",jobs,jobs_midwage_w,1563,NA,NA,3770
51131,"Northampton County, Virginia",jobs,jobs_hiwage_w,1064,NA,NA,3770
51001,"Northampton County, Virginia",jobs,jobs_lowage_h,3850,NA,NA,14519
51001,"Northampton County, Virginia",jobs,jobs_midwage_h,5450,NA,NA,14519
51001,"Northampton County, Virginia",jobs,jobs_hiwage_h,5219,NA,NA,14519
51131,"Northampton County, Virginia",jobs,jobs_lowage_h,1447,NA,NA,4867
51131,"Northampton County, Virginia",jobs,jobs_midwage_h,1733,NA,NA,4867
51131,"Northampton County, Virginia",jobs,jobs_hiwage_h,1687,NA,NA,4867
