GEOID,NAME,total,hisp,white,black,amind_aknat,asian,nathw_pacis,other_race,multi_race,pop_over18,pop_under18,total_housing,occupied_housing,jobs_rac,jobs_rac_low,jobs_rac_mid,jobs_rac_hi,jobs_wac,jobs_wac_low,jobs_wac_mid,jobs_wac_hi
511319302004044,"Block 4044, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004045,"Block 4045, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004046,"Block 4046, Block Group 4, Census Tract 9302, Northampton County, Virginia",2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
511319302004048,"Block 4048, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004049,"Block 4049, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004050,"Block 4050, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004052,"Block 4052, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004053,"Block 4053, Block Group 4, Census Tract 9302, Northampton County, Virginia",12,3,8,0,0,0,0,0,1,12,0,7,7,4,0,3,1,0,0,0,0
511319302004055,"Block 4055, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004056,"Block 4056, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004058,"Block 4058, Block Group 4, Census Tract 9302, Northampton County, Virginia",13,2,5,2,2,2,0,0,0,12,1,2,2,6,1,3,2,0,0,0,0
511319302004059,"Block 4059, Block Group 4, Census Tract 9302, Northampton County, Virginia",7,0,6,0,0,0,0,0,1,1,6,5,5,5,2,2,1,1,0,0,1
511319302004060,"Block 4060, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004062,"Block 4062, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004063,"Block 4063, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004065,"Block 4065, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004066,"Block 4066, Block Group 4, Census Tract 9302, Northampton County, Virginia",18,2,15,1,0,0,0,0,0,15,3,6,2,5,1,1,3,0,0,0,0
511319302004068,"Block 4068, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004069,"Block 4069, Block Group 4, Census Tract 9302, Northampton County, Virginia",6,3,0,3,0,0,0,0,0,6,0,4,4,3,0,0,3,0,0,0,0
511319302004070,"Block 4070, Block Group 4, Census Tract 9302, Northampton County, Virginia",20,1,0,19,0,0,0,0,0,18,2,13,13,11,2,7,2,0,0,0,0
511319302004072,"Block 4072, Block Group 4, Census Tract 9302, Northampton County, Virginia",11,0,1,10,0,0,0,0,0,7,4,6,0,2,1,0,1,1,0,0,1
511319302004075,"Block 4075, Block Group 4, Census Tract 9302, Northampton County, Virginia",11,2,4,2,1,1,0,0,1,8,3,5,5,2,0,1,1,0,0,0,0
511319302004076,"Block 4076, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004078,"Block 4078, Block Group 4, Census Tract 9302, Northampton County, Virginia",6,0,6,0,0,0,0,0,0,1,5,2,2,2,0,1,1,0,0,0,0
